sig,ex,side,ent,stop,tgt,risk_pct,pct,R,why,sid,skey,dow,rng,ts
197417,197420,1,20143.0,20092.3,20183.56,0.2517003425507657,-0.26023928908305977,-1.0339250493096641,stop,1,202505091,4,30.400000000001455,2025-05-09 03:30:00-04:00
197444,197467,-1,20055.1,20201.0,19938.379999999997,0.7274957492109312,0.0008975273122438545,0.001233721727195445,session flat,2,202505092,4,57.900000000001455,2025-05-09 10:15:00-04:00
197480,197500,1,20426.0,20367.7,20472.64,0.2854205424458987,0.2199157935963939,0.7704974271012003,target,0,202505120,0,36.20000000000073,2025-05-11 20:30:00-04:00
197507,197526,1,20837.9,20489.3,21116.780000000002,1.6729132974052192,0.07524750574672984,0.04497991967870831,session flat,1,202505121,0,312.40000000000146,2025-05-12 03:15:00-04:00
197571,197580,-1,20805.5,20836.2,20780.94,0.1475571363341459,0.10977866429550508,0.7439739413681032,target,0,202505130,1,26.799999999999272,2025-05-12 20:30:00-04:00
197604,197607,-1,20761.5,20791.6,20737.420000000002,0.14497989066299904,-0.15326445584374224,-1.0571428571428598,stop,1,202505131,1,28.099999999998545,2025-05-13 04:45:00-04:00
197624,197628,1,21049.9,20899.9,21169.9,0.7125924588715385,0.5619029069021705,0.7885333333333333,target,2,202505132,1,105.89999999999782,2025-05-13 09:45:00-04:00
197661,197664,-1,21199.6,21224.9,21179.359999999997,0.11934187437500195,0.08736013887055229,0.732015810276659,target,0,202505140,2,23.600000000002183,2025-05-13 20:15:00-04:00
197689,197696,-1,21218.6,21279.5,21169.879999999997,0.2870123382315584,0.2215037749898729,0.7717569786535311,target,1,202505141,2,14.299999999999272,2025-05-14 03:15:00-04:00
197729,197739,-1,21242.1,21332.4,21169.859999999997,0.4250992133546256,-0.43319634122804673,-1.0190476190476183,stop,2,202505142,2,89.80000000000291,2025-05-14 13:15:00-04:00
197753,197756,1,21314.8,21297.3,21328.8,0.08210257661343293,-0.09017208700058175,-1.0982857142857143,stop,0,202505150,3,16.0,2025-05-14 20:30:00-04:00
197781,197785,-1,21210.7,21282.8,21153.02,0.33992277482590644,0.26382910512147306,0.7761442441054289,target,1,202505151,3,54.0,2025-05-15 03:30:00-04:00
197811,197815,1,21298.3,21205.4,21372.62,0.43618504763289945,0.34087227619105614,0.7814854682454404,target,2,202505152,3,58.89999999999782,2025-05-15 11:00:00-04:00
197843,197845,-1,21329.7,21357.8,21307.22,0.13174118717093322,0.09732907635831523,0.7387900355872113,target,0,202505160,4,25.0,2025-05-15 20:15:00-04:00
197871,197874,1,21338.4,21284.2,21381.760000000002,0.25400217448356355,0.19514115397593343,0.768265682656827,target,1,202505161,4,33.599999999998545,2025-05-16 03:15:00-04:00
197900,197912,-1,21249.5,21390.9,21136.379999999997,0.6654274218216968,-0.6735217299230639,-1.012164073550212,stop,2,202505162,4,78.90000000000146,2025-05-16 10:30:00-04:00
197962,197965,1,21141.8,21099.2,21175.879999999997,0.20149656131454532,-0.20963210322677608,-1.0403755868544615,stop,1,202505191,0,38.599999999998545,2025-05-19 03:15:00-04:00
197988,198000,1,21287.2,21134.6,21409.280000000002,0.716862715622544,0.5654101995565493,0.7887287024901706,target,2,202505192,0,128.70000000000073,2025-05-19 09:45:00-04:00
198027,198028,-1,21446.9,21494.3,21408.980000000003,0.22101096195719575,0.16878896250739384,0.7637130801687747,target,0,202505200,1,25.799999999999272,2025-05-19 20:45:00-04:00
198053,198072,1,21396.0,21341.0,21440.0,0.2570573939054029,-0.011310525331841126,-0.04400000000001322,session flat,1,202505201,1,26.799999999999272,2025-05-20 03:15:00-04:00
198080,198082,-1,21318.5,21371.3,21276.260000000002,0.24767220958322242,-0.2557403194408578,-1.032575757575758,stop,2,202505202,1,47.39999999999782,2025-05-20 10:00:00-04:00
198116,198120,1,21376.1,21339.6,21405.3,0.17075144670917522,-0.17879781625273086,-1.0471232876712329,stop,0,202505210,2,30.0,2025-05-20 20:15:00-04:00
198145,198149,1,21266.5,21228.4,21296.98,0.17915500905178824,-0.1872428467307669,-1.0451443569553822,stop,1,202505211,2,34.89999999999782,2025-05-21 03:30:00-04:00
198170,198174,1,21309.4,21212.5,21386.920000000002,0.45472889898355395,0.3557115639107644,0.7822497420020568,target,2,202505212,2,94.59999999999854,2025-05-21 09:45:00-04:00
198209,198230,1,21135.0,21073.7,21184.04,0.290040217648447,-0.09093920037851905,-0.3135399673735763,session flat,0,202505220,3,45.79999999999927,2025-05-21 20:45:00-04:00
198235,198250,-1,21118.8,21163.9,21082.719999999998,0.2135538004053364,-0.22169820254939762,-1.038137472283812,stop,1,202505221,3,36.900000000001455,2025-05-22 03:15:00-04:00
198261,198286,1,21222.8,21051.6,21359.76,0.806679608722698,-0.49531635787925166,-0.6140186915887696,session flat,2,202505222,3,105.10000000000218,2025-05-22 09:45:00-04:00
198300,198301,1,21141.2,21117.2,21160.4,0.11352241121601422,-0.12165818401982857,-1.0716666666666665,stop,0,202505230,4,23.899999999997817,2025-05-22 20:45:00-04:00
198326,198334,1,21153.2,21070.7,21219.2,0.3900119130911635,-0.39814307055197323,-1.020848484848485,stop,1,202505231,4,55.0,2025-05-23 03:15:00-04:00
198353,198377,1,20909.8,20763.2,21027.079999999998,0.701106658122022,-0.10865718466938948,-0.15497953615279825,session flat,2,202505232,4,129.89999999999782,2025-05-23 10:00:00-04:00
198397,198412,1,21167.0,21120.2,21204.44,0.22109888033258976,-0.0789908820333538,-0.35726495726496277,session flat,0,202505260,0,37.0,2025-05-25 22:15:00-04:00
198419,198436,1,21220.4,21183.4,21250.0,0.17436052100808655,0.008388154794443083,0.04810810810810811,session flat,1,202505261,0,30.599999999998545,2025-05-26 03:45:00-04:00
198465,198467,-1,21162.1,21187.8,21141.539999999997,0.12144352403589781,-0.1295712618312962,-1.0669260700389085,stop,0,202505270,1,18.099999999998545,2025-05-26 20:15:00-04:00
198493,198494,1,21236.6,21186.0,21277.079999999998,0.23826789599087683,0.1825150918696946,0.7660079051383534,target,1,202505271,1,33.79999999999927,2025-05-27 03:15:00-04:00
198519,198521,1,21243.6,21143.6,21323.6,0.4707300080965562,0.3684874503379842,0.7828,target,2,202505272,1,90.70000000000073,2025-05-27 09:45:00-04:00
