time,side,reason,pts,usd,R,qty,path,action,orbBps,stopPts,tgtPts,trig,lock,regime,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
2025-06-25 10:15:00,-1,close1600,33.5,64.5,0.4944649446494465,1,parent_no_condition,control,23.572479944381982,67.75,203.5,0.75,0.1,ct,-35.352653631284255,-97.50669325606198,-257.42042351255765,-471.3046856254932,12.898558080436384,24.741194088157002,-1.0,2.0,23.572479944381982,4.0,0.5877852522924732,-0.8090169943749473,0.49999999999999994,-0.8660254037844387
2025-06-26 10:30:00,1,cond1530,100.75,398.0,1.1288515406162465,2,parent_no_condition,control,31.053540212163,89.25,268.25,1.25,0.0,base,44.22995217500336,25.44779379641815,136.3766867642835,487.39246175465877,16.475150378811865,14.43643626259039,1.0,3.0,31.053540212163,9.0,-0.587785252292473,-0.8090169943749476,0.49999999999999994,-0.8660254037844387
2025-06-27 10:00:00,1,stop,-71.75,-292.0,-1.0,2,rc1_direct,direct,24.775939331265082,71.75,215.75,1.25,0.0,base,10.678229355423063,95.9371018501387,325.19600855310136,676.9237856139298,15.253680446796203,12.268486133382162,1.0,1.0,24.775939331265082,10.0,-0.9510565162951536,0.30901699437494723,0.49999999999999994,-0.8660254037844387
2025-06-30 14:45:00,-1,stop,-83.5,-169.5,-1.0,1,parent_no_condition,control,28.60372062628221,83.5,250.25,0.75,0.1,ct,-50.96828998161218,-26.19776618224101,-362.00557103064136,-528.2284084090883,14.968431507439428,9.973190348525618,-1.0,20.0,28.60372062628221,13.0,0.0,1.0,0.49999999999999994,-0.8660254037844387
2025-07-02 10:00:00,1,cond1530,112.0,443.0,1.5501730103806228,2,rc1_direct,direct,24.92084126718702,72.25,216.5,1.25,0.0,base,-20.585002047722732,-65.951478555063,124.17074022346375,491.169353926868,9.233218038964264,10.78306627272596,1.0,1.0,24.92084126718702,14.0,0.5877852522924732,-0.8090169943749473,1.2246467991473532e-16,-1.0
2025-07-03 10:00:00,1,stop,0.0,-5.0,0.0,2,rc1_direct,direct,23.66535903121269,69.25,208.25,1.25,0.0,base,38.13073701573355,55.03381725757039,171.03700717919557,497.6556438827484,10.480650161630578,19.089464535186895,1.0,1.0,23.66535903121269,8.0,-0.587785252292473,-0.8090169943749476,1.2246467991473532e-16,-1.0
2025-07-07 11:00:00,-1,stop,9.5,16.5,0.10106382978723404,1,parent_no_condition,control,32.11403148455379,94.0,282.25,0.75,0.1,ct,-42.84352473677977,-55.03381725757039,-171.03700717919557,-497.6556438827484,20.382742176057178,23.148395080165862,-1.0,5.0,32.11403148455379,5.0,0.0,1.0,1.2246467991473532e-16,-1.0
2025-07-08 11:30:00,-1,stop,-67.5,-137.5,-1.0,1,parent_no_condition,control,23.066572691740884,67.5,202.5,0.75,0.1,ct,-25.352203074355817,45.99904168663183,-83.16075588920447,-420.34510433386794,14.805105110899941,11.012862595828343,-1.0,7.0,23.066572691740884,10.0,0.9510565162951535,0.30901699437494745,1.2246467991473532e-16,-1.0
2025-07-09 11:00:00,-1,stop,-100.0,-202.5,-1.0,1,parent_no_condition,control,41.04592677661871,100.0,300.0,0.75,0.1,ct,-32.17427554434327,-20.3506742499715,-59.570533016484184,-404.25721212660414,42.50658867195889,48.95038066619284,-1.0,5.0,41.04592677661871,12.0,0.5877852522924732,-0.8090169943749473,1.2246467991473532e-16,-1.0
2025-07-10 10:00:00,-1,stop,-85.25,-173.0,-1.0,1,parent_no_condition,control,28.981045546950888,85.25,256.0,0.75,0.1,ct,-9.767491241108317,-60.23967701279665,-59.487573825467436,-570.2005409105703,32.570487622818334,36.87762367819758,-1.0,1.0,28.981045546950888,14.0,-0.587785252292473,-0.8090169943749476,1.2246467991473532e-16,-1.0
