feed,cell,side,filter,block,n,R,pct,pf,win
US30_ISO,As published S,SHORT,bear only,research,25,0.0796,-0.0732,1.144,28.0
US30_ISO,US100 Optuna totR,LONG,both regimes,research,88,-0.0885,-0.0299,0.841,31.8
US30_ISO,US100 Optuna totR,LONG,both regimes,LOCKED,42,0.1049,0.0113,1.237,33.3
US30_ISO,US100 Optuna totR,LONG,bull only,research,67,-0.1927,-0.0238,0.669,29.9
US30_ISO,US100 Optuna totR,LONG,bull only,LOCKED,37,0.1107,-0.0013,1.242,32.4
US30_ISO,US100 Optuna totR,LONG,bear only,research,21,0.2442,-0.049,1.509,38.1
US30_ISO,US100 Optuna totR,SHORT,both regimes,research,138,-0.0506,-0.0151,0.907,31.9
US30_ISO,US100 Optuna totR,SHORT,both regimes,LOCKED,55,-0.2392,-0.0748,0.598,23.6
US30_ISO,US100 Optuna totR,SHORT,bull only,research,117,0.0145,0.0179,1.028,33.3
US30_ISO,US100 Optuna totR,SHORT,bull only,LOCKED,52,-0.2226,-0.0679,0.628,25.0
US30_ISO,US100 Optuna totR,SHORT,bear only,research,21,-0.4133,-0.199,0.362,23.8
US30_ISO,US100 Optuna pf,LONG,both regimes,research,15,0.1376,0.086,1.261,40.0
US30_ISO,US100 Optuna pf,SHORT,both regimes,research,20,-0.5331,-0.0751,0.272,20.0
US30_ISO,US100 Optuna pf,SHORT,bull only,research,17,-0.4785,-0.0237,0.328,23.5
US30_ISO,US100 Optuna retdd,LONG,both regimes,research,90,-0.1667,-0.0384,0.646,28.9
US30_ISO,US100 Optuna retdd,LONG,both regimes,LOCKED,46,0.0948,0.0002,1.288,39.1
US30_ISO,US100 Optuna retdd,LONG,bull only,research,73,-0.2092,-0.052,0.571,26.0
US30_ISO,US100 Optuna retdd,LONG,bull only,LOCKED,40,0.1018,-0.0132,1.295,37.5
US30_ISO,US100 Optuna retdd,LONG,bear only,research,17,0.016,0.0198,1.04,41.2
US30_ISO,US100 Optuna retdd,SHORT,both regimes,research,74,0.0126,0.0065,1.029,31.1
US30_ISO,US100 Optuna retdd,SHORT,both regimes,LOCKED,32,-0.1581,-0.1052,0.67,28.1
US30_ISO,US100 Optuna retdd,SHORT,bull only,research,59,-0.0008,0.0077,0.998,32.2
US30_ISO,US100 Optuna retdd,SHORT,bull only,LOCKED,29,-0.1358,-0.1012,0.704,27.6
US30_ISO,US100 Optuna retdd,SHORT,bear only,research,15,0.0652,0.0019,1.168,26.7
US30_ISO,US30 Optuna totR,LONG,both regimes,research,216,0.1023,0.0356,1.187,31.9
US30_ISO,US30 Optuna totR,LONG,both regimes,LOCKED,109,0.2654,0.0265,1.633,34.9
US30_ISO,US30 Optuna totR,LONG,bull only,research,171,0.1267,0.0244,1.226,29.8
US30_ISO,US30 Optuna totR,LONG,bull only,LOCKED,97,0.2941,0.0322,1.714,37.1
US30_ISO,US30 Optuna totR,LONG,bear only,research,46,0.042,0.0845,1.086,41.3
US30_ISO,US30 Optuna totR,LONG,bear only,LOCKED,12,0.0329,-0.0199,1.068,16.7
US30_ISO,US30 Optuna totR,SHORT,both regimes,research,215,-0.1866,-0.0469,0.67,25.1
US30_ISO,US30 Optuna totR,SHORT,both regimes,LOCKED,112,-0.3996,-0.0989,0.365,22.3
US30_ISO,US30 Optuna totR,SHORT,bull only,research,176,-0.2296,-0.0402,0.599,23.9
US30_ISO,US30 Optuna totR,SHORT,bull only,LOCKED,99,-0.4263,-0.109,0.329,22.2
US30_ISO,US30 Optuna totR,SHORT,bear only,research,39,0.0072,-0.0775,1.014,30.8
US30_ISO,US30 Optuna totR,SHORT,bear only,LOCKED,13,-0.1963,-0.0223,0.665,23.1
US30_ISO,US30 Optuna pf,LONG,both regimes,research,65,-0.0047,0.0132,0.991,32.3
