feat,fam,h,block,n,ic,t,p
pead.abs_sue,pead,1,locked,267,0.045442509510401866,0.7516716321765435,0.452248554029683
pead.abs_sue,pead,5,research,476,0.05711470685593005,1.189133501132726,0.23438713722963067
pead.abs_sue,pead,5,locked,263,0.015004630814574793,0.22131502309439532,0.8248471532584549
pead.abs_sue,pead,10,research,476,0.013826464051360364,0.3064680374593122,0.7592483121898141
pead.abs_sue,pead,10,locked,258,-0.09420940259778372,-1.3942917491603641,0.16322952145713776
pead.abs_sue,pead,20,research,476,0.007435347525306051,0.16376689978681028,0.869914649966735
pead.abs_sue,pead,20,locked,248,-0.15866653239574463,-1.9619411510549294,0.04976933610063705
pead.sue_on,pead,1,research,476,0.054932225124409255,1.2319358261339317,0.21797305721722182
pead.sue_on,pead,1,locked,267,-0.009408898735182749,-0.13998357518032786,0.8886729677103158
pead.sue_on,pead,5,research,476,-0.08140929460165397,-1.8297022206763434,0.06729447866727645
pead.sue_on,pead,5,locked,263,-0.0037013533588577843,-0.06184290540211136,0.9506879352873863
pead.sue_on,pead,10,research,476,-0.04691951855220738,-1.16174631049826,0.24533852841365622
pead.sue_on,pead,10,locked,258,0.01398325559034997,0.2572359964164588,0.7969965975859075
pead.sue_on,pead,20,research,476,-0.07475648054653838,-2.1271349290808383,0.03340887382409585
pead.sue_on,pead,20,locked,248,-0.022279794376670846,-0.4121051387843825,0.6802623623143491
