feed,block,side,geom,read,strict,recency,arm,n,per,keep,mde,p,base,vs_none
US30L,B_holdout,long,100pt / 100pt,any,False,75,or,397,-0.03607511866381901,0.6665014866204163,0.03571060914443629,0.98,-0.020203876039081834,-0.015871242624737176
US30L,B_holdout,long,100pt / 100pt,any,False,75,fresh,80,-0.02285016725334599,0.11496531219028741,0.08044161055255651,0.5566666666666666,-0.020203876039081834,-0.002646291214264157
US30L,A_research,long,100pt / 100pt,any,False,150,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
US30L,A_research,long,100pt / 100pt,any,False,150,m200,882,0.003055186600663874,0.6154608523290387,0.029842766549777806,0.26,-0.0016198973594984767,0.004675083960162351
US30L,A_research,long,100pt / 100pt,any,False,150,or,984,-0.0021332808114042107,0.6917740336967294,0.028459266499171715,0.56,-0.0016198973594984767,-0.000513383451905734
US30L,A_research,long,100pt / 100pt,any,False,150,fresh,231,-0.03795558932694194,0.1709613478691774,0.05998215854984466,0.9733333333333334,-0.0016198973594984767,-0.03633569196744346
US30L,B_holdout,long,100pt / 100pt,any,False,150,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
US30L,B_holdout,long,100pt / 100pt,any,False,150,m200,360,-0.031044329236128078,0.6154608523290387,0.037553244456286716,0.9,-0.020203876039081834,-0.010840453197046244
US30L,B_holdout,long,100pt / 100pt,any,False,150,or,412,-0.03551383775975351,0.6917740336967294,0.03518136609959437,0.99,-0.020203876039081834,-0.015309961720671676
US30L,B_holdout,long,100pt / 100pt,any,False,150,fresh,114,-0.018342745625713638,0.1709613478691774,0.06767181133872184,0.5033333333333333,-0.020203876039081834,0.0018611304133681963
US30L,A_research,long,100pt / 100pt,all,True,30,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
