feed,win,buf,side,ema,stop,tgt,flat,block,n,pct,tot,pf,win_r
US30L15,540-570,0.0,long,off,1.0,3.0,660,res,1378,-0.00013987470268216225,-0.1927473402960196,1.0027570671027,0.3548621190130624
US30L15,540-570,0.0,long,off,1.0,3.0,660,lock,585,-0.009314526675219188,-5.448998105003225,0.8940866894452251,0.3333333333333333
US30L15,540-570,0.0,long,off,1.0,3.0,720,res,1378,0.0035847797384296045,4.939826479555995,1.0301832123009265,0.32728592162554426
US30L15,540-570,0.0,long,off,1.0,3.0,720,lock,585,-0.009156503126984164,-5.3565543292857365,0.8978861375259134,0.31794871794871793
US30L15,540-570,0.0,long,off,1.0,3.0,960,res,1378,0.013484465664905333,18.58159368623955,1.1128678288803742,0.29753265602322204
US30L15,540-570,0.0,long,off,1.0,3.0,960,lock,585,0.0018132582536794326,1.060756078402468,0.9984265521363539,0.27521367521367524
US30L15,540-570,0.0,long,off,1.0,3.0,0,res,1367,0.0119839393601386,16.382045105309466,1.09910829607423,0.2831016825164594
US30L15,540-570,0.0,long,off,1.0,3.0,0,lock,577,0.004453999563279722,2.569957748012399,1.0215699992203813,0.2651646447140381
US30L15,540-570,0.0,long,off,1.5,0.0,660,res,1378,-0.0029771753035734098,-4.102547568324159,0.9756783169628611,0.4296081277213353
US30L15,540-570,0.0,long,off,1.5,0.0,660,lock,585,-0.0167053029011478,-9.772602197171464,0.8522455345784945,0.38632478632478634
US30L15,540-570,0.0,long,off,1.5,0.0,720,res,1378,0.00517454074812359,7.130517150914307,1.0397134997468176,0.4027576197387518
US30L15,540-570,0.0,long,off,1.5,0.0,720,lock,585,-0.01152541607606708,-6.742368404499242,0.9063101644729481,0.37264957264957266
US30L15,540-570,0.0,long,off,1.5,0.0,960,res,1378,0.008453334177563419,11.64869449668239,1.0589658227882508,0.3251088534107402
US30L15,540-570,0.0,long,off,1.5,0.0,960,lock,585,0.010203639152167116,5.969128904017763,1.0585415141143215,0.29743589743589743
US30L15,540-570,0.0,long,off,1.5,1.0,660,res,1378,-0.008438746598604798,-11.628592812877411,0.9252040725081753,0.5043541364296081
