p_range_end,p_side,p_buf_atr,p_atr_n,p_stop_mode,p_stop_atr,p_stop_pts,p_tgt_mode,p_tgt_r,p_tgt_pts,p_flat_m,p_be_pts,p_be_off,p_ma_mode,p_cross_min,p_m200_form,p_x_mode,p_conf,p_conf_tol,r_sharpe,r_sortino,r_pf,r_tot,r_n,r_tpy,r_retdd,ok,h_sharpe,h_sortino,h_pf,h_tot,h_n,h_retdd
570,both,0.5,14,points,3.7692167884868684,47.06661624182729,points,2.0694261859648386,359.8038948155812,0,50.0,0.0,200all,75,cross,cross,through,0.5,0.05868978407588901,0.1556438243493584,1.0474301643032171,0.7393042927403797,148,23.972062084257207,0.19071139914896096,False,-0.8137354469187618,-1.6920188596153989,0.5259704010353272,-2.3086353332262157,67,-1.0000000000000004
570,both,0.3,14,range,2.484630567704425,235.14997565025575,r,1.5410968934538976,161.82804468875435,960,75.0,5.0,200all,30,state,cross,confluence,0.25,-0.04980894723590289,-0.08004302153861814,0.9883269366052101,-1.5822575075041314,1185,191.93847006651885,-0.11163787561359567,True,-0.7032706629794436,-1.0261696119198784,0.8556079581144249,-7.513542962727304,498,-0.7435513886202696
570,short,0.3,30,atr,1.0435975175269017,285.68197428235635,none,3.6114244317612387,275.12081098255214,960,75.0,25.0,off,30,state,off,confluence,0.5,-0.025323663408995434,-0.07939623713623305,0.9745083618069108,-0.2926972878271905,130,21.056541019955652,-0.0716657048306707,False,-1.7641315512597762,-1.9537967559974905,0.2643510367753014,-2.9733843818259085,43,-1.0000000000000002
570,long,0.3,14,points,5.641252734933996,30.77993042379748,points,3.5815401902393256,358.8773012521683,0,50.0,3.0,200all,150,state,cross,behind,0.5,0.8180253072507765,2.89843744105986,1.3864391344695763,20.77050489319865,720,116.62084257206209,4.656745165028265,True,0.6600345885245522,2.363834070460351,1.3044632249169503,4.921469831757171,305,1.6018370213573783
570,both,0.3,10,atr,5.0296552666330525,56.26008599946363,none,3.583678042912412,323.0590284491602,0,0.0,25.0,200all,30,cross,cross,behind,0.5,0.3262146390285393,0.666840535870647,1.2666557648017678,10.883615454138784,156,25.267849223946783,1.1701601919546856,False,-1.0448241287986406,-1.405794865593425,0.5580209238506921,-7.47333268320042,69,-0.9999999999999996
570,long,0.3,30,range,2.488769234222174,201.3150780633553,none,1.7052003404206324,138.45650543380884,0,50.0,0.0,200all,30,state,off,behind,0.25,0.3577009920728946,58.969086959953536,70.57162183128113,100.12289796828163,16,2.591574279379157,69.57162183128115,False,-9.0,-9.0,0.0,0.0,0,-9.0
570,both,0.3,21,points,1.3118099074871992,173.4983067045722,none,3.089462419074346,119.47957774815535,0,50.0,25.0,200all,30,state,cross,confluence,0.25,0.6921704800811094,1.4068678805341097,1.2238174041887,32.56508266923485,1143,185.13558758314855,3.2102889687645346,True,-0.6110843297394839,-0.9330653503581776,0.8589045722252796,-7.636292980132829,501,-0.7504710245736448
570,long,0.3,50,points,5.965539148050233,41.29363709469761,points,2.1480891829752333,355.715469871324,960,100.0,3.0,cross,150,state,state,behind,0.5,-0.7068729521570419,-1.3695359145345676,0.7002953621530678,-7.639911423917123,243,39.35953436807095,-0.7460637090214911,False,0.5521953171063368,1.5948530755948955,1.3199880616801496,2.838679676451628,125,1.7901810983743502
570,both,0.3,21,points,2.97943177219714,187.1716476291368,none,3.405512687007156,121.82161130180305,900,100.0,10.0,200all,30,state,cross,confluence,0.25,-0.04364239964965815,-0.07077993746152322,0.9900419233254121,-1.9320337132314034,1259,203.92450110864743,-0.14263199064030502,True,-0.904600441849872,-1.3557859585037393,0.8239684033840676,-13.700111954287923,523,-0.8708102872696794
570,long,0.3,10,points,5.950876576822724,125.46026135086616,points,4.7615526627647915,339.3576054606685,0,50.0,3.0,200all,150,state,cross,behind,1.0,0.613519317176511,1.2301246063280393,1.22800586821023,20.61193531874438,730,118.24057649667405,1.9296870922267204,True,0.2030387891081071,0.3924445887817038,1.0678862933424702,2.1672595350531223,322,0.26417391021932374
570,long,0.3,10,points,5.148957660786031,173.65323825251454,points,4.856247687782468,254.21056511644014,720,0.0,3.0,200all,150,state,cross,behind,1.0,0.48406721536636316,0.7195107610392875,1.132848156911453,12.978113383281373,807,130.71252771618626,2.825603784445974,True,-0.7054493176948071,-0.9920720123862898,0.8454049882051522,-7.228562643275915,334,-0.8347823065043083
