param,don,stop,tgt,cell,atr_u_n,atr_u_days,atr_u_mean,atr_u_sd,atr_u_se,atr_u_n_eff,atr_u_t,atr_u_mde80,atr_u_pf,atr_u_win,pct_n,pct_days,pct_mean,pct_sd,pct_se,pct_n_eff,pct_t,pct_mde80,pct_pf,pct_win,med_min,amb,n_US30,m_US30,n_US100,m_US100,n_NQ,m_NQ
pts,20,50.0,150.0,don20 50pts/150pts,2446,1492,-0.06862716580038775,3.4967458729924936,0.0797180725907548,1924.0420629036198,-0.8608733699909686,0.22333697378671521,0.9454219228616346,0.41741618969746525,2446,1492,-0.004236173849038149,0.37301293186701534,0.00858392972956001,1888.3194633767387,-0.49350052743911316,0.024048610643655776,0.9708902336044497,0.41741618969746525,75.0,0.0028618152085036794,1040,0.04822601752712324,1037,-0.18734905228899199,369,-0.06432557873244418
pts,20,50.0,1000000000.0,don20 50pts/none,2379,1492,-0.06826187713517706,3.6284109855732494,0.08415225425772382,1859.0943789772116,-0.8111711057212911,0.23575971159932316,0.9471892839148512,0.4077343421605717,2379,1492,-0.006031817566005603,0.39401054783686984,0.009134479422907307,1860.5789058222906,-0.6603351200156085,0.02559102252637419,0.9595207153299777,0.4077343421605717,75.0,0.0,992,0.06253658947108953,1028,-0.19892241732217356,359,-0.055540550007556096
pts,20,100.0,100.0,don20 100pts/100pts,2421,1492,-0.06869352252773218,3.7090276625476726,0.08651203432522296,1838.09136858433,-0.794034298968095,0.24237083655442637,0.9495489547544312,0.5043370508054523,2421,1492,-0.010202524694826562,0.4135990213311894,0.00945449424629601,1913.7376502810262,-1.079119033662071,0.026487571325157014,0.9384290136591981,0.5043370508054523,75.0,0.0020652622883106154,1026,0.06651237000591852,1027,-0.2068601028755922,368,-0.060063543512170685
pts,20,100.0,150.0,don20 100pts/150pts,2327,1492,-0.0802092705428521,3.9288000888595054,0.09311377200433323,1780.2952031212474,-0.8614114627331326,0.2608661672500811,0.9442338212912124,0.48044692737430167,2327,1492,-0.012897292057280539,0.4443242269422521,0.010568942242872494,1767.4084977159507,-1.2203011201029357,0.029609792358721302,0.9264372663498232,0.48044692737430167,75.0,0.0008594757198109154,977,0.05300859567829557,1004,-0.19188328839027124,346,-0.1323281762632347
pts,20,100.0,1000000000.0,don20 100pts/none,2248,1492,-0.06488492915281642,4.101355964717242,0.0996676382857067,1693.3494600531665,-0.6510130095269002,0.27922738214546605,0.9563974220022448,0.4737544483985765,2248,1492,-0.01010368428985612,0.49110576146286233,0.012279373512884542,1599.549330879339,-0.8228175712103303,0.034401711321385246,0.943951973687645,0.4737544483985765,90.0,0.0,921,0.09398863073664052,992,-0.19300117619613066,335,-0.1222915906191511
pts,40,30.0,100.0,don40 30pts/100pts,2291,1320,-0.07640708924624935,2.8756069005347946,0.06671307682315186,1857.9631342255288,-1.1453090291247565,0.18690236988257714,0.9242116184160374,0.35530336097773896,2291,1320,-0.004975451456733121,0.28406840748326956,0.006352968925754744,1999.3664995675895,-0.7831694936461582,0.017798383833525517,0.9562740536589907,0.35530336097773896,45.0,0.005674378000872981,957,0.06187214220605361,951,-0.18850750673053757,383,-0.14357609047939787
pts,40,30.0,150.0,don40 30pts/150pts,2233,1320,-0.06937285693221912,3.053452875606668,0.07181839640996214,1807.6362254609721,-0.9659482862331942,0.2012053577707274,0.9331938864887785,0.3385579937304075,2233,1320,-0.0049020729132909086,0.30730695714480566,0.007128685955673437,1858.3427556160896,-0.6876544911323446,0.01997162119798422,0.9581444797946148,0.3385579937304075,45.0,0.003134796238244514,930,0.05991076714323511,938,-0.17197553436125676,365,-0.13510562121094555
pts,40,30.0,1000000000.0,don40 30pts/none,2192,1320,-0.08504076322539894,3.1288190980966926,0.0743302193018735,1771.8627557430768,-1.1440940713497327,0.20824244365522404,0.9196925077977006,0.3266423357664234,2192,1320,-0.009297479795023862,0.31661858827120487,0.007334862823314634,1863.3259150020535,-1.2675737800400089,0.02054924326268463,0.9220876572346929,0.3266423357664234,45.0,0.0,904,0.03679382883442268,932,-0.190162531601762,356,-0.11921206405491686
pts,40,50.0,100.0,don40 50pts/100pts,2162,1320,-0.1330449457984813,3.3540840822347717,0.08126218018920685,1703.613023356483,-1.637230818674887,0.2276629228097144,0.8929633030647216,0.4269195189639223,2162,1320,-0.010471407796844794,0.33893045877197875,0.00804983395802965,1772.7494291504288,-1.3008228308112668,0.022552295825079675,0.9257493634475766,0.4269195189639223,60.0,0.0037002775208140612,906,-0.004404654609755382,909,-0.29224226829680716,347,-0.05188568835181686
pts,40,50.0,150.0,don40 50pts/150pts,2091,1320,-0.12335413251986022,3.557603593239944,0.08736922215963447,1658.052094936994,-1.4118717034526966,0.24477232132045992,0.9044680528499885,0.40937350549976087,2091,1320,-0.00984469710616887,0.36657849630464484,0.00911399334519598,1617.7691767347972,-1.0801738308661424,0.02553362903388102,0.9327639573686781,0.40937350549976087,75.0,0.001912960306073649,871,0.009722815092759952,894,-0.27391403774738826,326,-0.06602120643759658
pts,40,50.0,1000000000.0,don40 50pts/none,2036,1320,-0.12594472569815124,3.6794506511421745,0.09181969112614725,1605.8105618761517,-1.371652683138751,0.25724068939071265,0.9049872211245742,0.40078585461689586,2036,1320,-0.011218984169883747,0.38587808870551865,0.009779561699590659,1556.9026414782106,-1.1471868080093341,0.027398275497196926,0.9250418298506187,0.40078585461689586,75.0,0.0,833,0.021280868333029283,886,-0.2908449424373809,317,-0.05192998688747573
pts,40,100.0,100.0,don40 100pts/100pts,2069,1320,-0.1364794007622097,3.7678478714158357,0.09442525984643901,1592.2466433840752,-1.4453696074986937,0.26454041220225955,0.9024968000406215,0.4915418076365394,2069,1320,-0.017347974870332863,0.4082468024061532,0.01003512017448367,1655.0092606220833,-1.728726170558835,0.02811424434282068,0.8959868707835805,0.4915418076365394,75.0,0.002416626389560174,857,0.03353314917290034,884,-0.32244674499803716,328,-0.07948434890220296
pts,40,100.0,150.0,don40 100pts/150pts,1995,1320,-0.14500133195675388,3.9782685538263993,0.1009302354550456,1553.6229251654236,-1.436649100272213,0.2827646557115172,0.9013185499234949,0.47117794486215536,1995,1320,-0.019592660797212898,0.4370584399762405,0.011107608422472192,1548.2386333879456,-1.7638955256627789,0.0311189115649852,0.8885830921371742,0.47117794486215536,75.0,0.0010025062656641604,818,0.04289181834556524,870,-0.3159869969282676,307,-0.1610895027127152
pts,40,100.0,1000000000.0,don40 100pts/none,1934,1320,-0.14819972265511736,4.11817642528054,0.10660927306894308,1492.17559312153,-1.3901203749816227,0.2986749635437199,0.902380639908397,0.4638055842812823,1934,1320,-0.01984697016138581,0.4734369586954373,0.012588427546886782,1414.42963363289,-1.5766043922057702,0.0352675525346441,0.8903928015564418,0.4638055842812823,90.0,0.0,776,0.05782608717454369,860,-0.3321511810579929,298,-0.15382983742472792
