market,side,entry1,exit1,atr_len,atr_mult,pyr_step,max_units,adx_max,ext_max,ao_min,skip_win,res_sharpe,res_pf,res_n,res_R,res_dd,lk_sharpe,lk_pf,lk_n,lk_R,lk_dd
NQ,long,48,28,30,3.1,0.8,3,45.0,0.0,0.0,True,-2.088355952982713,0.5438983914256876,175,-0.18378225101445955,34.72814568415912,-3.3966942939080407,0.36609208175147784,95,-0.2798113509386792,30.23787790971367
NQ,long,19,23,11,3.9000000000000004,1.5,1,18.0,0.0,0.0,False,-0.04668413871215804,0.988869013194462,263,-0.003810529863337176,15.261668364236455,0.37396570734856155,1.0976199578133186,131,0.031098871035490597,9.273387579805698
NQ,long,57,38,26,4.2,0.4,4,18.0,5.0,-0.5,False,-1.6280040936452447,0.5499948244140959,121,-0.12380777659434007,16.66230019646803,-1.9251935370655326,0.47389323498598523,58,-0.16938486543580397,11.94873431064188
NQ,long,11,30,19,2.4000000000000004,1.3,4,30.0,3.5,-999.0,True,-3.6129831711443994,0.4209294153372195,241,-0.27006164095183705,65.12512227677848,-1.4894170140374186,0.6796697001864005,122,-0.12923009253782913,21.518585746308613
NQ,long,27,40,10,2.7,1.5,1,35.0,8.0,1.0,True,-0.271060571495204,0.9172866804310804,153,-0.03620422584688174,16.788271065492747,-0.5845614605524483,0.8320294834908591,81,-0.08009377827868697,15.061333179580608
NQ,long,14,35,16,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,0.0923177431155539,1.0288173975910995,169,0.012206374982331295,17.813718930023146,-0.07962176373671669,0.9778618299126198,99,-0.009050412561287104,9.892555202313652
NQ,long,14,35,16,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,0.0923177431155539,1.0288173975910995,169,0.012206374982331295,17.813718930023146,-0.07962176373671669,0.9778618299126198,99,-0.009050412561287104,9.892555202313652
NQ,long,14,35,16,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,0.0923177431155539,1.0288173975910995,169,0.012206374982331295,17.813718930023146,-0.07962176373671669,0.9778618299126198,99,-0.009050412561287104,9.892555202313652
NQ,long,14,34,16,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,0.0923177431155539,1.0288173975910995,169,0.012206374982331295,17.813718930023146,-0.060044415701569966,0.9832431921878466,99,-0.006812938862915192,9.892555202313652
NQ,long,14,34,16,2.8,1.4000000000000001,1,0.0,8.0,1.0,False,-0.043732826076164626,0.9866605974761872,171,-0.005873442868089831,18.46307620074421,-0.12660429485550487,0.964589011452885,99,-0.014934011890022476,9.960146459539054
NQ,long,18,34,16,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,0.0923177431155539,1.0288173975910995,169,0.012206374982331295,17.813718930023146,-0.060044415701569966,0.9832431921878466,99,-0.006812938862915192,9.892555202313652
NQ,long,16,34,16,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,0.0923177431155539,1.0288173975910995,169,0.012206374982331295,17.813718930023146,-0.060044415701569966,0.9832431921878466,99,-0.006812938862915192,9.892555202313652
NQ,long,18,35,15,3.0,1.4000000000000001,1,0.0,8.0,1.0,False,0.07512196388331115,1.0235251866348156,168,0.009647112429907836,19.004568419659435,-0.20641721781971745,0.9439766176870314,99,-0.023105550239087693,9.844444311732174
NQ,long,29,33,15,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,-0.03754747273692994,0.9883734252990423,168,-0.004926773528970006,18.934671724757198,-0.2734428853142674,0.925170302441281,97,-0.03162627375329374,11.977869447126618
NQ,long,16,36,15,3.0,1.4000000000000001,1,0.0,8.0,1.0,False,0.07464237066526382,1.0233727831498705,168,0.009586042798649951,19.014828117710763,-0.21855107082935513,0.940803244571817,99,-0.024496685381851485,9.844715363244692
NQ,long,17,36,15,3.0,1.4000000000000001,1,0.0,8.0,1.0,False,0.07464237066526382,1.0233727831498705,168,0.009586042798649951,19.014828117710763,-0.21855107082935513,0.940803244571817,99,-0.024496685381851485,9.844715363244692
NQ,long,16,33,16,3.5,1.5,1,0.0,8.0,1.0,False,0.07005783839872104,1.021954610287195,166,0.008052190868642948,15.336096424680346,-0.48973344361240345,0.8702427908624448,99,-0.0493884238393565,10.700773872680891
NQ,long,23,36,17,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,0.035064588679544206,1.0108039492476888,169,0.004601530968522019,19.052212161516444,-0.06013697127402031,0.9833107026303339,100,-0.006759830205735091,9.877511998590318
NQ,long,18,34,14,3.1,1.5,1,0.0,8.0,1.0,False,-0.21027190760696848,0.9365973101282224,167,-0.02671587878746749,20.46871222137967,-0.2587555827914303,0.9287184301113188,97,-0.028554271541777126,9.877992296860597
NQ,long,15,34,18,2.7,1.4000000000000001,1,0.0,8.0,1.0,False,-0.18518486922398286,0.9469946914646197,170,-0.023731116974373623,19.779777553622733,0.19531195652595149,1.0568108563414191,100,0.02332258829644908,8.600286699554806
NQ,long,10,32,16,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,0.09446469879560204,1.0295003709557438,169,0.012487376851293593,17.813718930023146,-0.07358719729951234,0.9796670647938834,100,-0.008377418357464018,9.892555202313652
NQ,long,13,32,16,2.8,1.5,1,0.0,8.0,1.0,False,-0.04314895289455323,0.9868371587022172,171,-0.005794664639229301,18.46307620074421,-0.11712737046264464,0.9671744550151575,99,-0.013806636146248209,9.960146459539054
NQ,long,10,32,17,3.4000000000000004,1.3,1,0.0,8.0,1.0,False,0.12050153870155568,1.0379261472504793,166,0.014066569461560431,15.018297276727942,-0.3227024899744582,0.9141998155482536,102,-0.032796535284316974,10.72424026285741
NQ,long,23,31,17,3.4000000000000004,1.1,1,0.0,8.0,1.0,False,0.060031420405356126,1.0187203302492316,166,0.0070055304425454155,16.190429753884438,-0.5215373924218355,0.8629171365931845,100,-0.05304560220247612,12.107579956407891
