stop,target,hold_h,n,pts,sd,se,t,sharpe,pf,win,mde,need_n,med_min,trigger,hold_pts
20,75,1.0,1400,-0.9264285714285708,35.144895034595706,0.9392868293827845,-0.9863106161483569,-0.3954966591034154,0.9390846446338128,0.2885714285714286,2.631492096767007,-1,15.0,donch20 long,-0.24710014947681277
20,75,2.0,1359,-0.9500441501103746,37.33414910697036,1.0127366553764687,-0.9380959453444595,-0.3785053726748404,0.9413665648956882,0.25901398086828553,2.837268043543882,-1,15.0,donch20 long,-0.7966666666666682
20,75,4.0,1338,-0.6539760837070245,38.897000167427535,1.0633789328722736,-0.614998156809992,-0.2464766240055314,0.9610615924777164,0.24514200298953662,2.9791466995877043,-1,15.0,donch20 long,-0.7656838905775067
20,100,1.0,1379,-0.522777374909353,38.727906089278584,1.0428981172684904,-0.5012736778915537,-0.20015203202111737,0.966238009133267,0.27556200145032633,2.9217679493372475,-1,15.0,donch20 long,-0.44390505359875165
20,100,2.0,1330,0.2769172932330839,42.76307543064002,1.1725816964297033,0.23616034096067368,0.09401047642502011,1.0167247013348883,0.24210526315789474,3.2850875477472847,187173,15.0,donch20 long,-1.0435101404056155
20,100,4.0,1303,0.5756945510360713,45.176862685213905,1.2515374802725618,0.45998986055990554,0.18101551059690302,1.0331833117752918,0.2202609363008442,3.50628890464596,48334,15.0,donch20 long,-1.5529107981220651
20,150,1.0,1369,-0.6815266617969294,42.276278565167566,1.1426021233829071,-0.5964689263653129,-0.23910713092996164,0.9566667270446422,0.26442658875091307,3.2010972190540428,-1,15.0,donch20 long,-1.1984639498432208
20,150,2.0,1307,0.28077276205050006,48.12538023969838,1.3311787618910664,0.21092040384691502,0.08315600117322519,1.016530448241503,0.22264728385615914,3.7294107419799345,230592,15.0,donch20 long,-0.5940064102563903
20,150,4.0,1270,0.09897637795275877,51.950344886831594,1.4577618304171167,0.0678961239672726,0.026834618197159193,1.005474195071221,0.18740157480314962,4.084043995625898,2162327,15.0,donch20 long,-0.8428180354267206
20,0,1.0,1348,-0.6994955489614224,45.189610910766845,1.2308174813125314,-0.5683178534444339,-0.2265620939835091,0.955655570212876,0.26186943620178044,3.448240061840223,-1,15.0,donch20 long,-1.3680799999999673
20,0,2.0,1277,0.04124510571652445,55.286946563201994,1.547131242799094,0.026659086556808948,0.010608313105244668,1.0023917730635583,0.21064996084573218,4.334420020306688,14102887,15.0,donch20 long,-1.0600826446280505
20,0,4.0,1231,0.8992770105605219,66.17632825647992,1.8861387628122073,0.4767819994429848,0.1900651970723122,1.0486825058554805,0.16978066612510154,5.284178477204562,42503,15.0,donch20 long,-3.7165442404006153
30,20,1.0,1507,-4.836781685467815,24.059679173803023,0.6197737894295969,-7.804108156815251,-3.0039465948575956,0.6536741557124762,0.5315195753151958,1.7363490870398182,-1,0.0,donch20 long,-6.809390581717449
30,20,2.0,1489,-5.212766957689723,24.665396811437713,0.6392058747745732,-8.155067347477202,-3.1446328558384837,0.6436589527944442,0.5345869711215581,1.7907897300994136,-1,0.0,donch20 long,-6.859037656903763
30,20,4.0,1482,-5.178663967611334,24.87826715442195,0.6462432580596703,-8.013490126241544,-3.0975921769442065,0.6488625336335284,0.5418353576248313,1.8105055590851367,-1,0.0,donch20 long,-6.836722454672243
30,30,1.0,1463,-3.7315584415584393,28.550178463877536,0.7464258377887912,-4.999235359553994,-1.976158707698346,0.7642024398376668,0.46411483253588515,2.091175593566666,-1,0.0,donch20 long,-5.151142857142848
30,30,2.0,1436,-4.102674094707518,29.423551321287334,0.7764578221331995,-5.2838338126803155,-2.0793618233922997,0.7544356463954004,0.4658774373259053,2.17531275697656,-1,0.0,donch20 long,-5.256522366522368
