sym,n_entry,fast,slow,mode,atr,stop,targ,n,exp,excess,z,p,pf,wr,sel
NAS,10,8,21,sep0.5,pct<0.8,1.5,2.0,792,-2.745206869535184,0.09533877289712267,0.08434408282975918,0.49333333333333335,0.7843126484695,0.40025252525252525,0.32292441140024786
NAS,10,8,21,sep0.5,pct<0.8,2.0,3.0,792,-1.550568788726733,0.728495846815985,0.47929051461120586,0.3466666666666667,0.8990085295143259,0.4027777777777778,0.32292441140024786
NAS,10,8,21,sep0.5,pct0.2-0.8,1.0,2.0,761,-2.4115495597424808,0.3303318322571718,0.329400789454873,0.38,0.7742034591819497,0.32457293035479634,0.3019826517967782
NAS,10,8,21,sep0.5,pct0.2-0.8,1.5,2.0,761,-3.1209436524950935,-0.28800934148936363,-0.23685055542088174,0.6,0.7634331262828223,0.39947437582128775,0.3019826517967782
NAS,10,8,21,sep0.5,pct0.2-0.8,2.0,3.0,761,-2.349258360851636,-0.26325840737524064,-0.17704483992195513,0.5266666666666666,0.8534151205672027,0.4007884362680683,0.3019826517967782
NAS,10,8,21,sep0.5,exp>1.2,1.0,2.0,865,-2.086752320811406,0.5985384792927584,0.6189962213325166,0.26,0.8212889945722092,0.3630057803468208,0.36666666666666664
NAS,10,8,21,sep0.5,exp>1.2,1.5,2.0,865,-2.071905668015751,0.5147116744180025,0.446015129960234,0.29333333333333333,0.8465351654042326,0.4323699421965318,0.36666666666666664
NAS,10,8,21,sep0.5,exp>1.2,2.0,3.0,865,-2.0161298103995877,0.3127369361251624,0.20629136641519327,0.4266666666666667,0.8715639109874532,0.4277456647398844,0.36666666666666664
NAS,10,9,34,state,none,1.0,2.0,1385,-2.562942966166788,0.2118561211165404,0.3156528142369288,0.3466666666666667,0.7755628730547506,0.3191335740072202,0.7830235439900868
NAS,10,9,34,state,none,1.5,2.0,1385,-3.213979332294368,-0.5124157822356832,-0.5707004820313452,0.6933333333333334,0.7708383706296893,0.39638989169675093,0.7830235439900868
