tf,k,stop_atr,tp_r,block,n,pf,pts,R,win,hit_tp,hit_sl,flat,t_tp,t_sl,t_tp_med,t_sl_med,t_flat
5,2,0.75,1.0,locked,1710,0.7573547805678549,-1.8887791036583712,-0.13826137480207362,0.4888888888888889,0.4818713450292398,0.5017543859649123,0.016374269005847954,5.66626213592233,5.20979020979021,4.0,4.0,4.464285714285714
5,2,0.75,1.5,research,2399,0.9040602256067622,-0.5820166924124158,-0.10167739569198724,0.4243434764485202,0.4122551062942893,0.5639849937473947,0.023759899958315966,9.7633973710819,6.737620103473762,7.0,4.0,7.719298245614035
5,2,0.75,1.5,locked,1386,0.7433055207333003,-2.449387159323721,-0.14942467648108365,0.3874458874458874,0.37518037518037517,0.6017316017316018,0.023088023088023088,9.75576923076923,6.913669064748201,7.0,4.0,6.25
5,2,0.75,2.0,research,2063,0.9258405517209799,-0.5082007764767409,-0.10040217353388285,0.3553078041686864,0.3397964129907901,0.6301502666020359,0.030053320407174018,14.42225392296719,8.336153846153847,11.0,5.0,9.435483870967742
5,2,0.75,2.0,locked,1221,0.7358111370175408,-2.8093884580958566,-0.1536348438556331,0.32432432432432434,0.3063063063063063,0.6617526617526618,0.03194103194103194,13.61229946524064,8.477722772277227,11.0,5.0,11.794871794871796
5,2,1.0,1.0,research,2236,0.8950376742608933,-0.694128894998578,-0.08696211101952142,0.5152057245080501,0.5022361359570662,0.47137745974955275,0.026386404293381037,9.462154942119323,8.653700189753321,6.0,6.0,7.11864406779661
5,2,1.0,1.0,locked,1292,0.7332069320006815,-2.789495754826058,-0.1343461781513766,0.47368421052631576,0.46439628482972134,0.5108359133126935,0.02476780185758514,9.561666666666667,8.792424242424243,6.0,6.0,8.59375
5,2,1.0,1.5,research,1805,0.9166758436487512,-0.6724350389825051,-0.08810369393214684,0.4149584487534626,0.39501385041551246,0.5695290858725762,0.03545706371191136,16.05610098176718,11.101167315175097,12.0,7.0,11.640625
5,2,1.0,1.5,locked,1046,0.7313975691503375,-3.3430042686908927,-0.1400243126898632,0.3795411089866157,0.361376673040153,0.6003824091778203,0.03824091778202677,15.367724867724867,11.528662420382165,11.5,8.0,13.5
5,2,1.0,2.0,research,1534,0.9632941942033365,-0.3252150366186339,-0.06953855880166439,0.35723598435462844,0.3285528031290743,0.6238591916558018,0.04758800521512386,23.14484126984127,13.87669801462905,19.0,8.0,16.506849315068493
5,2,1.0,2.0,locked,921,0.7498884981487149,-3.4451781219378317,-0.13808910945617944,0.32030401737242126,0.2953311617806732,0.6590662323561346,0.04560260586319218,22.845588235294116,13.341021416803954,17.0,8.0,18.69047619047619
5,2,1.5,1.0,research,1445,0.9596663825109131,-0.3762003867166559,-0.056230951107562786,0.5086505190311419,0.4865051903114187,0.46505190311418687,0.04844290657439446,19.549075391180654,17.398809523809526,15.0,13.0,16.0
5,2,1.5,1.0,locked,841,0.7373797187943212,-4.085022336945503,-0.08851233829415106,0.4815695600475624,0.45541022592152197,0.4887039239001189,0.0558858501783591,19.35248041775457,17.418491484184916,15.0,13.0,18.085106382978722
5,2,1.5,1.5,research,1148,0.9752441449499045,-0.27518124593744914,-0.051167195974703705,0.4172473867595819,0.3806620209059233,0.5531358885017421,0.06620209059233449,30.391304347826086,22.836220472440946,25.0,16.0,22.960526315789473
5,2,1.5,1.5,locked,688,0.7559057297220477,-4.3722288376458005,-0.09480872479040388,0.38808139534883723,0.35174418604651164,0.5770348837209303,0.07122093023255814,29.946280991735538,22.42317380352645,22.0,14.0,23.46938775510204
5,2,1.5,2.0,research,1039,0.9574737356915088,-0.5245527821770833,-0.04609080284468773,0.3570741097208855,0.3089509143407122,0.6092396535129933,0.08180943214629452,41.90342679127726,25.627172195892577,37.0,18.0,29.235294117647058
