feat,fam,dir,n,thr,mfe,mae,mfe_pts,mae_pts,atr_pts,ratio,tf,win,hz,base_mfe,base_mae,base_n
vlm.mfi14,vlm,low,4767,34.46476707146505,1.84424378817177,2.1560120928461854,29.388556744283616,34.563614432557166,14.33099187581995,0.8553958460117701,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.rsi14,mom,high,4767,62.514407172309525,3.6488765606719773,3.921286088576112,51.580239144115794,57.22015942941053,14.446952394392415,0.930530565291386,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.rsi14,mom,low,4767,39.132850478163625,3.363906865382903,3.9407774375095226,54.121302706104466,60.41163205370254,14.91979463672877,0.8536150337657262,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.rsi7,mom,high,4767,67.66033652399801,3.678524042385493,3.963297652571317,51.20148940633522,56.680564296203066,13.87585229519229,0.928147306826408,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.rsi7,mom,low,4767,34.496537985821796,3.454281595599541,4.052364846391832,52.743339626599536,60.64411579609818,14.406421272279681,0.8524113021746264,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.roc10,mom,high,4767,0.15124413843116483,3.0851745394235093,3.3310148707289104,58.303492762743865,62.80108034403189,19.503467973373134,0.9261965674588523,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.roc10,mom,low,4767,-0.13713831729709222,3.01804324902678,3.572093701434035,58.60504510174114,66.20117474302496,19.69823050003712,0.8448947595678051,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.roc30,mom,high,4767,0.217581270109745,3.178370099972777,3.5483414002192233,55.483165512901195,63.12948395217118,18.29554227033487,0.895734018089807,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.roc30,mom,low,4767,-0.1973948143109758,3.0294652072999675,3.4178673277957548,60.353052234109505,62.03576672959933,19.19756091650061,0.8863612647170027,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.macd_hist,mom,high,4767,0.20152189737080464,3.6098245860320586,3.8648515172585043,53.43664778686805,57.20175162576044,14.740026223243161,0.9340137829131023,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.macd_hist,mom,low,4767,-0.1957805694656306,3.4304078663916835,4.037115700277019,52.560467799454585,60.750314663310256,14.474192055173473,0.849717501570811,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.di_spread,mom,high,4767,12.161378151011641,3.701181133051317,3.930522207735171,51.54473463394168,56.19603524229075,13.938993250057557,0.9416512456709909,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.di_spread,mom,low,4767,-13.311975691892012,3.4114923146200633,3.9379188140203545,55.254877281309,61.160740507656804,15.102836267769638,0.8663186001890057,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.adx14,mom,high,4767,35.379979760582344,3.266909919003632,3.657026053132582,53.788703587161734,59.28938535766729,16.9679117684257,0.8933242124991756,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.adx14,mom,low,4767,17.840802263771046,4.258735738756325,4.324320905506479,49.149255296832386,51.92138661632054,10.678648277305864,0.9848334181983027,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.slope20,mom,high,4767,0.14280957195577829,3.695416966523316,3.8761385277020914,52.14789175582127,55.586532410320956,14.220390324996371,0.9533758765618954,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
mom.slope20,mom,low,4767,-0.1282982871314603,3.318914821789287,3.898833142168309,54.57730228655339,59.37948395217118,14.827200052686994,0.8512584921609382,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.atr_ratio,vol,high,4767,1.5276870118111552,2.3898068153768657,2.5019412822664897,58.97314873085798,62.186752674638136,24.319846919656516,0.9551810157638703,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
