kind,tf,ent,exn,stop,tp,piv,win,sess,sh,eh,flat,r_pf,r_retdd,r_n,r_pyr,r_tot,r_dd,l_pf,l_retdd,l_tot,l_n
PF,15,42,46,2.5148550335267745,0.0,120,300,True,6,19,True,1.874124435238316,2.7738260959652288,79,41.10363247863248,8.969507108022867,645.6655356414827,1.2632703258186695,0.7861770587834983,1.7174329345389585,41
PF,15,47,49,2.030072558136051,0.0,30,600,True,6,13,True,1.0510176288578845,0.41414929504868087,271,141.00106837606836,2.409283583542132,923.8556075937047,1.0812592280529791,0.4500395788003794,1.910077238048665,129
PF,15,46,45,1.9309096950557318,0.0,120,1200,True,4,19,False,1.7285528453663646,5.509960995111025,173,90.01175213675214,18.804583052570997,633.1536639181763,1.095276043616546,0.2439321519868654,1.3892261681842455,88
PF,15,34,40,3.592709290205315,0.0,60,300,False,6,18,True,1.7834123834525648,5.312253903904128,155,80.64636752136752,20.87184095077817,763.9733621091764,1.5402306840142252,2.861232161657372,9.024426211379458,81
PF,15,24,48,3.9107176772179777,6.0,120,300,True,6,18,True,1.576478784295183,2.218927241202649,84,43.705128205128204,6.6061599046723085,585.4074121028464,1.01347482798915,0.03991151742596044,0.1474051871828818,44
PF,15,41,32,1.8888550216971531,3.0,120,450,True,9,19,True,1.3041790187725464,1.531780414059761,108,56.19230769230769,3.663325948572037,510.07306885709863,1.3234671716323139,1.273112861537031,2.2663773846440227,51
PF,15,40,47,3.0191843837789802,3.0,120,450,True,4,16,True,1.6147403724038585,3.423152964371765,125,65.03739316239316,8.509482599009846,487.32563400872544,1.0273102011434994,0.10163534109114335,0.21156926890241587,59
PF,15,37,37,2.270625865676823,0.0,90,300,True,4,20,True,1.5758092087274629,2.5765435593338757,112,58.27350427350427,8.082819534919503,654.1504256817523,1.5261705389427718,2.1833744110766307,3.619466089690027,49
PF,15,48,49,2.956573274383765,0.0,120,450,False,8,17,True,2.320159852118704,5.120958051629784,92,47.86752136752136,19.24490863969377,738.4842824259985,0.6627883655440983,-0.6651772728617826,-4.9264718760951425,55
PF,15,48,46,3.40540303436185,0.0,60,450,True,8,16,True,1.6344494590015874,3.5025577871233944,131,68.15918803418803,14.917943652014241,781.9768110154091,1.8573166819371774,4.645738313159392,10.598726057590035,80
PF,15,51,47,2.9499727498218307,4.0,120,1200,False,9,15,True,1.2774903863412979,1.908609088056419,220,114.46581196581197,10.73896284943364,962.8469565365026,0.960335773060378,-0.12091721434811525,-1.4401865430044916,108
PF,15,43,44,3.219145611275772,0.0,120,450,False,8,16,True,2.17614006379214,4.637134442713547,100,52.02991452991453,17.760600847161253,778.3625517553952,0.7272693348395308,-0.5633159028275293,-4.09671044101575,56
PF,15,41,34,3.121635867320331,8.0,150,450,False,9,16,True,1.1854939275268914,0.49501497236325465,93,48.38782051282051,2.044958217484607,1201.3116296476737,1.0435029387097645,0.09579531101731499,0.11946545695288371,51
PF,15,47,44,2.5780188982641716,0.0,120,450,False,7,17,False,2.1527212512929434,4.670887153895797,98,50.98931623931624,16.80044922426474,727.6629407562974,0.7964698507953778,-0.4154099423508747,-2.7838194730264303,55
