sweep_bar,inv_bar_1m,gap_bars,level,src,side,pen_atr,sweep_ext,atr,zlo,zhi,tf,defn
996059,996094,7,25355.75,60m,-1,0.8685546270782685,25360.25,5.181021273397107,25361.5,25362.5,5,close
997275,997284,1,25611.0,prevday,-1,0.3644020943164792,25612.25,3.43027666277458,25599.75,25600.0,5,close
999426,999429,0,25436.0,60m,-1,4.6766449737562175,25503.25,14.379966915894775,25483.0,25492.75,5,close
1000377,1000394,3,25369.75,asia,-1,0.5569264898838681,25373.25,6.28449187383748,25363.5,25364.25,5,close
1000787,1000804,3,25384.5,london,-1,1.8612329327445443,25419.75,18.939058824851607,25396.0,25404.0,5,close
1001188,1001209,4,25545.75,prevday,-1,0.8161483022253142,25550.25,5.513703805705748,25531.75,25539.25,5,close
1001472,1001499,5,25578.5,london,-1,1.4186562453067255,25582.75,2.995792683435524,25567.5,25572.0,5,close
1001906,1001924,3,25638.0,asia,-1,0.5860018715135942,25640.25,3.839578181189826,25637.75,25638.0,5,close
1002920,1002944,4,26024.75,60m,-1,1.0914325945762262,26028.5,3.4358512093511586,26015.5,26020.0,5,close
1003164,1003179,3,26058.5,asia,-1,1.77069313924422,26067.0,4.800380038535661,26058.25,26059.0,5,close
1003556,1003574,3,26109.0,london,-1,1.019060095408975,26124.25,14.964770054978732,26111.0,26118.75,5,close
1004087,1004099,2,26237.75,prevday,-1,8.87425425110344,26269.5,3.577765421365085,26247.75,26250.25,5,close
1004835,1004854,3,26275.25,240m,-1,1.1840410201445777,26281.5,5.278533339357485,26266.75,26270.75,5,close
1005607,1005639,6,26488.0,prevday,-1,1.3516668065398938,26496.25,6.103575200695368,26499.25,26500.5,5,close
1005932,1005969,7,26547.5,asia,-1,0.4166858385013205,26549.5,4.799779150626598,26550.25,26551.25,5,close
1006679,1006684,1,26583.0,60m,-1,0.5152555891328874,26612.25,56.767943166272495,26494.75,26498.0,5,close
1007047,1007064,3,26636.25,60m,-1,0.38924882439333175,26639.25,7.707152371431524,26632.25,26633.5,5,close
1008261,1008274,2,26439.0,prevday,-1,0.25914589724124065,26440.5,5.788245216182759,26436.75,26441.75,5,close
1008709,1008719,2,26470.0,asia,-1,0.453232784377219,26472.5,5.515929310884287,26468.0,26468.5,5,close
1008945,1008989,8,26476.25,60m,-1,1.067378230371885,26483.0,6.32390637913632,26519.25,26519.5,5,close
