sym,rsi,stoch,k,d,os,ob,reset,n,net,ex_crisis
NAS,7,14,5,3,10,90,16,840,-0.13766911955954847,-0.947501231038661
NAS,7,14,5,3,20,80,4,943,-0.5142028413401656,-0.8116899292142662
NAS,7,14,5,3,20,80,8,1030,-0.6899063022670843,-1.2074103096723514
NAS,7,14,5,3,20,80,16,1404,0.015909376388544897,-0.8037387974082966
NAS,7,14,5,3,30,70,4,1223,-0.9897343728404052,-1.3953467811060158
NAS,7,14,5,3,30,70,8,1333,-0.8271337828061077,-1.3956983950885276
NAS,7,14,5,3,30,70,16,1674,-0.4465984349615158,-1.137431056762285
NAS,7,21,1,3,10,90,4,1500,-0.8651139698892151,-0.8986939542111978
NAS,7,21,1,3,10,90,8,1968,-0.8307431625049808,-0.8857266056197678
NAS,7,21,1,3,10,90,16,2732,-0.8955941496734885,-0.5953922312581222
NAS,7,21,1,3,20,80,4,1858,-0.595084894221676,-0.7654175685047462
NAS,7,21,1,3,20,80,8,2356,-0.6510014643466195,-0.7127632418506559
NAS,7,21,1,3,20,80,16,3121,-0.8819240510724188,-0.5567998835313436
NAS,7,21,1,3,30,70,4,2260,-0.8999336399998697,-1.3115256008930936
NAS,7,21,1,3,30,70,8,2752,-0.7051987201384391,-0.7802291260223537
NAS,7,21,1,3,30,70,16,3442,-0.8129203263648328,-0.6341337827775032
NAS,7,21,3,3,10,90,4,728,-1.6088804461015531,-1.9430966376380066
NAS,7,21,3,3,10,90,8,853,-1.1179053773503431,-1.095999134059377
NAS,7,21,3,3,10,90,16,1255,-0.9228298254107902,-0.3274343336036553
NAS,7,21,3,3,20,80,4,1110,-0.488725360981536,-1.122241236053424
NAS,7,21,3,3,20,80,8,1278,0.06834452049726,-0.41072967362715723
NAS,7,21,3,3,20,80,16,1704,-0.6519247372806989,-0.36020405808691225
NAS,7,21,3,3,30,70,4,1393,-0.31809198896717433,-0.6353213912849127
NAS,7,21,3,3,30,70,8,1580,0.21617187285412603,0.03199166342835915
NAS,7,21,3,3,30,70,16,1992,-0.8990972132451935,-0.2778186766715614
NAS,7,21,5,3,10,90,4,416,-0.10856571383810236,-0.5798351622399431
NAS,7,21,5,3,10,90,8,453,-0.30561539340355276,-0.6805338312000089
NAS,7,21,5,3,10,90,16,673,0.035532145408410945,-0.452834153562582
NAS,7,21,5,3,20,80,4,806,-0.8486443135219849,-0.5555403871958552
NAS,7,21,5,3,20,80,8,868,-0.9716120025755622,-0.8651094690661115
NAS,7,21,5,3,20,80,16,1183,0.22879784452129326,0.03195041903143704
NAS,7,21,5,3,30,70,4,1093,-1.1584421002567684,-0.7313405860827111
NAS,7,21,5,3,30,70,8,1192,-0.7401063384454728,-0.4811934607316417
NAS,7,21,5,3,30,70,16,1512,-0.3074831113285267,-0.06628082686986152
NAS,14,7,1,3,10,90,4,2800,-1.3864708363935911,-1.0931762234225313
NAS,14,7,1,3,10,90,8,3398,-1.2311012723095096,-0.8695280615794463
NAS,14,7,1,3,10,90,16,3883,-1.2196670716558442,-0.6711974249385495
NAS,14,7,1,3,20,80,4,2982,-1.4891955132657066,-1.0317097160229207
NAS,14,7,1,3,20,80,8,3549,-1.297815994123828,-0.7905853104884202
NAS,14,7,1,3,20,80,16,3922,-1.2194415357871284,-0.6827422634108912
NAS,14,7,1,3,30,70,4,3166,-1.784106425532082,-1.192408152923808
NAS,14,7,1,3,30,70,8,3674,-1.5249675830872873,-0.8311140123097197
NAS,14,7,1,3,30,70,16,3945,-1.2528853997470626,-0.709249505269196
NAS,14,7,3,3,10,90,4,1317,-1.073936142117637,-1.3059410161497047
NAS,14,7,3,3,10,90,8,1481,-0.9749100223062994,-1.133490909964976
NAS,14,7,3,3,10,90,16,1977,-0.2832900274085654,-0.6278273137062015
NAS,14,7,3,3,20,80,4,1765,-0.7579027940762744,-1.2012952196172495
NAS,14,7,3,3,20,80,8,1939,-0.4556138388118034,-1.0762578523096649
NAS,14,7,3,3,20,80,16,2311,-0.21438280028328113,-0.8132974876786154
NAS,14,7,3,3,30,70,4,2012,-0.6832262869438861,-1.114090201723415
NAS,14,7,3,3,30,70,8,2175,-0.4271347326148876,-0.8351911316588025
NAS,14,7,3,3,30,70,16,2432,-0.35435742239778784,-0.7756009716909512
NAS,14,7,5,3,10,90,4,721,-0.9775538021488006,-1.6734663410077748
NAS,14,7,5,3,10,90,8,792,-0.3938978481647824,-1.4207504960027961
