tf,design,stop,tgt,be,be_off,arm,tr,n,R,pts,pf,win,sharpe,p_flat
3,S1 opening drive,3.0,2.0,0.0,0.0,1.0,1.0,577,-0.048171574283216584,-0.5144667259408728,0.9128002591222788,0.44714038128249567,-0.29381382818372104,0.0
3,S1 opening drive,3.0,2.0,1.0,0.25,0.0,0.0,579,-0.05773191734640221,-0.49125375456696185,0.8959332814009423,0.4939550949913644,-0.2636742510555729,0.0
3,S1 opening drive,3.0,2.0,1.0,0.25,1.0,1.0,581,-0.04818388360577444,-0.5301381658049512,0.9128444095797906,0.49569707401032703,-0.30562127667003625,0.0
3,S1 opening drive,3.0,3.0,0.0,0.0,0.0,0.0,557,-0.1364611710965616,-3.692737435710143,0.8341825601146785,0.24416517055655296,-1.5280899368852638,0.019748653500897665
3,S1 opening drive,3.0,3.0,0.0,0.0,1.0,1.0,577,-0.02602557479033223,-0.11253630556909333,0.952888743793839,0.44714038128249567,-0.06149553736441897,0.0
3,S1 opening drive,3.0,3.0,1.0,0.25,0.0,0.0,578,-0.11305036930840001,-2.342805401590613,0.7958825321096222,0.49480968858131485,-1.2705614687189675,0.0017301038062283738
3,S1 opening drive,3.0,3.0,1.0,0.25,1.0,1.0,581,-0.02658541988598851,-0.13534251484690593,0.9519119715278651,0.49569707401032703,-0.07470603993210943,0.0
3,S2 level reclaim,1.0,0.0,0.0,0.0,0.0,0.0,580,-0.22576722333014507,-4.491250734453763,0.7541661344490412,0.19482758620689655,-2.072347452280341,0.21724137931034482
3,S2 level reclaim,1.0,0.0,0.0,0.0,1.0,1.0,594,-0.04370224360378853,-0.01843743896619871,0.9229037106206214,0.4494949494949495,-0.012845720953491055,0.0723905723905724
3,S2 level reclaim,1.0,0.0,1.0,0.25,0.0,0.0,594,-0.1437501586771593,-2.427601769218498,0.7457564623757561,0.43097643097643096,-1.4108109255717118,0.12457912457912458
3,S2 level reclaim,1.0,0.0,1.0,0.25,1.0,1.0,594,-0.04885843216957444,-0.2017271053212561,0.9131301794532062,0.4831649831649832,-0.14312132158726423,0.0707070707070707
3,S2 level reclaim,1.0,1.0,0.0,0.0,0.0,0.0,594,-0.1485594557024346,-1.872953085066505,0.735422479453569,0.5033670033670034,-1.6633834866780903,0.03872053872053872
3,S2 level reclaim,1.0,1.0,0.0,0.0,1.0,1.0,594,-0.1485594557024346,-1.872953085066505,0.735422479453569,0.5033670033670034,-1.6633834866780903,0.03872053872053872
3,S2 level reclaim,1.0,1.0,1.0,0.25,0.0,0.0,594,-0.1485594557024346,-1.872953085066505,0.735422479453569,0.5033670033670034,-1.6633834866780903,0.03872053872053872
3,S2 level reclaim,1.0,1.0,1.0,0.25,1.0,1.0,594,-0.1485594557024346,-1.872953085066505,0.735422479453569,0.5033670033670034,-1.6633834866780903,0.03872053872053872
3,S2 level reclaim,1.0,1.5,0.0,0.0,0.0,0.0,591,-0.06963760911690639,-0.06820874619020967,0.8893675735539581,0.4450084602368866,-0.05161307567483803,0.06091370558375635
3,S2 level reclaim,1.0,1.5,0.0,0.0,1.0,1.0,594,-0.08056302337033927,-0.4705266549931644,0.8578766294163699,0.4494949494949495,-0.37834421119987866,0.04882154882154882
3,S2 level reclaim,1.0,1.5,1.0,0.25,0.0,0.0,594,-0.08028483352321303,-0.573492029004772,0.8572946617598091,0.4764309764309764,-0.46825205930819086,0.04882154882154882
3,S2 level reclaim,1.0,1.5,1.0,0.25,1.0,1.0,594,-0.08567356553915588,-0.6405894333777187,0.8476732278645429,0.4831649831649832,-0.5265864524287615,0.04882154882154882
3,S2 level reclaim,1.0,2.0,0.0,0.0,0.0,0.0,586,-0.04777286169751883,-0.08415997082277231,0.9311174484798082,0.3890784982935154,-0.05797552340547448,0.07849829351535836
3,S2 level reclaim,1.0,2.0,0.0,0.0,1.0,1.0,594,-0.04902334365862518,-0.015096626425072326,0.9135166165994635,0.4494949494949495,-0.011307045307035538,0.06060606060606061
3,S2 level reclaim,1.0,2.0,1.0,0.25,0.0,0.0,594,-0.0514502192352201,-0.14819558376497738,0.908597309412519,0.468013468013468,-0.11052724859171986,0.06060606060606061
3,S2 level reclaim,1.0,2.0,1.0,0.25,1.0,1.0,594,-0.057654191975872605,-0.2598711054697638,0.8974914034627306,0.4831649831649832,-0.19995311742493052,0.058922558922558925
