tf,geom,feature,n_res,kept,keep_frac,base,filt,edge,p,binary,bh
240,V54  20/20 2.0N no-tp,div.exhausted_buyers_k2_w10,337,70,0.20771513353115728,0.07776717706941835,0.06563486564747041,-0.012132311421947942,0.5216666666666666,True,False
60,V54  20/20 2.0N no-tp,cvd.above_ema20,1410,1116,0.7914893617021277,0.026027206181531964,0.025037138320687276,-0.000990067860844688,0.53,True,False
60,V54  20/20 2.0N no-tp,flow.sub_up,1410,777,0.551063829787234,0.026027206181531964,0.024920168987840042,-0.0011070371936919218,0.5333333333333333,False,False
60,V54  20/20 2.0N no-tp,div.absorbed_selling_k3_w10,1410,262,0.18581560283687942,0.026027206181531964,0.022413175271758942,-0.0036140309097730215,0.5416666666666666,True,False
60,V54  20/20 2.0N no-tp,cvd.slope50,1410,705,0.5,0.026027206181531964,0.02404709175095123,-0.0019801144305807324,0.5433333333333333,False,False
60,V38  70/30 2.5N no-tp,div.exhausted_buyers_k3_w20,574,159,0.2770034843205575,0.05363951908945588,0.0384389776849248,-0.01520054140453108,0.55,True,False
240,V54  20/20 2.0N no-tp,cvd.slope20,337,169,0.5014836795252225,0.07776717706941835,0.0583750291941275,-0.019392147875290852,0.5516666666666666,False,False
240,V54  20/20 2.0N no-tp,div.absorbed_buying_k2_w10,337,84,0.24925816023738873,0.07776717706941835,0.047594929283018145,-0.030172247786400208,0.5533333333333333,True,False
240,V38  70/30 2.5N no-tp,flow.sub_up,146,93,0.636986301369863,0.23178743204105454,0.2105755511463429,-0.021211880894711627,0.5533333333333333,False,False
240,V38  70/30 2.5N no-tp,eff.delta_share20,146,73,0.5,0.23178743204105454,0.18599403699268394,-0.0457933950483706,0.5583333333333333,False,False
240,V38  70/30 2.5N no-tp,div.absorbed_selling_k3_w20,146,50,0.3424657534246575,0.23178743204105454,0.19548989279136536,-0.036297539249689176,0.56,True,False
60,V54  20/20 2.0N no-tp,eff.delta_share50,1410,705,0.5,0.026027206181531964,0.02404709175095123,-0.0019801144305807324,0.5616666666666666,False,False
240,V38  70/30 2.5N no-tp,cvd.slope20,146,73,0.5,0.23178743204105454,0.18599403699268394,-0.0457933950483706,0.57,False,False
60,V38  70/30 2.5N no-tp,div.absorbed_selling_k5_w10,574,68,0.11846689895470383,0.05363951908945588,0.02555350418160567,-0.028086014907850208,0.57,True,False
240,V54  20/20 2.0N no-tp,ctx.atr_rank250,337,171,0.5074183976261127,0.07776717706941835,0.06295678255976657,-0.014810394509651784,0.5716666666666667,False,False
240,V54  20/20 2.0N no-tp,div.exhausted_sellers_k5_w10,337,54,0.16023738872403562,0.07776717706941835,0.03474291113497695,-0.043024265934441405,0.5716666666666667,True,False
240,V38  70/30 2.5N no-tp,div.exhausted_sellers_k5_w20,146,36,0.2465753424657534,0.23178743204105454,0.1528542628773498,-0.07893316916370474,0.58,True,False
60,V38  70/30 2.5N no-tp,div.absorbed_buying_k5_w20,574,106,0.18466898954703834,0.05363951908945588,0.03037206553425025,-0.02326745355520563,0.5816666666666667,True,False
240,V54  20/20 2.0N no-tp,eff.delta_share20,337,169,0.5014836795252225,0.07776717706941835,0.0583750291941275,-0.019392147875290852,0.5866666666666667,False,False
240,V54  20/20 2.0N no-tp,div.absorbed_selling_k5_w10,337,44,0.13056379821958458,0.07776717706941835,0.015293172307364121,-0.06247400476205423,0.5933333333333334,True,False
240,V38  70/30 2.5N no-tp,div.absorbed_buying_k3_w30,146,68,0.4657534246575342,0.23178743204105454,0.18369858490751922,-0.04808884713353531,0.595,True,False
60,V38  70/30 2.5N no-tp,div.absorbed_buying_k2_w20,574,204,0.3554006968641115,0.05363951908945588,0.034676395914834464,-0.018963123174621413,0.6016666666666667,True,False
60,V54  20/20 2.0N no-tp,flow.bar_delta_norm,1410,705,0.5,0.026027206181531964,0.017220887345112193,-0.00880631883641977,0.6116666666666667,False,False
60,V54  20/20 2.0N no-tp,flow.delta_z50,1410,705,0.5,0.026027206181531964,0.02010674206232824,-0.0059204641192037236,0.6133333333333333,False,False
240,V38  70/30 2.5N no-tp,div.absorbed_selling_k5_w20,146,45,0.3082191780821918,0.23178743204105454,0.11516718052568554,-0.11662025151536899,0.6233333333333333,True,False
60,V38  70/30 2.5N no-tp,div.absorbed_selling_k5_w20,574,133,0.23170731707317074,0.05363951908945588,0.026098279102433505,-0.027541239987022372,0.6233333333333333,True,False
60,V54  20/20 2.0N no-tp,cvd.rank100,1410,705,0.5,0.026027206181531964,0.01784707050791535,-0.008180135673616615,0.6283333333333333,False,False
240,V38  70/30 2.5N no-tp,div.exhausted_sellers_k2_w20,146,54,0.3698630136986301,0.23178743204105454,0.13843793590324013,-0.0933494961378144,0.6283333333333333,True,False
240,V38  70/30 2.5N no-tp,cvd.z50,146,73,0.5,0.23178743204105454,0.16379605197445407,-0.06799138006660047,0.635,False,False
60,V38  70/30 2.5N no-tp,div.absorbed_buying_k5_w30,574,169,0.29442508710801396,0.05363951908945588,0.02804573798255339,-0.025593781106902486,0.635,True,False
60,V54  20/20 2.0N no-tp,cvd.z20,1410,705,0.5,0.026027206181531964,0.016543785372858156,-0.009483420808673808,0.64,False,False
240,V54  20/20 2.0N no-tp,ctx.close_pos,337,169,0.5014836795252225,0.07776717706941835,0.035889463362615205,-0.04187771370680315,0.6433333333333333,False,False
60,V38  70/30 2.5N no-tp,conf.both55,574,217,0.3780487804878049,0.05363951908945588,0.023644967325108197,-0.02999455176434768,0.6433333333333333,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_selling_k2_w20,337,145,0.43026706231454004,0.07776717706941835,0.021453975140695487,-0.05631320192872287,0.6483333333333333,True,False
60,V38  70/30 2.5N no-tp,cvd.rank100,574,291,0.5069686411149826,0.05363951908945588,0.03234776115515371,-0.021291757934302165,0.6566666666666666,False,False
60,V38  70/30 2.5N no-tp,div.exhausted_sellers_k5_w20,574,112,0.1951219512195122,0.05363951908945588,0.004484757648858033,-0.04915476144059784,0.6666666666666666,True,False
60,V38  70/30 2.5N no-tp,cvd.z10,574,287,0.5,0.05363951908945588,0.03462858961478831,-0.019010929474667565,0.675,False,False
60,V38  70/30 2.5N no-tp,flow.delta_z50,574,287,0.5,0.05363951908945588,0.03704657375106627,-0.016592945338389606,0.6766666666666666,False,False
60,V38  70/30 2.5N no-tp,div.absorbed_buying_k5_w10,574,47,0.08188153310104529,0.05363951908945588,-0.013039090230805035,-0.06667860932026091,0.6783333333333333,True,False
